PocGH01_00015700	PocGH01_00_v1_archived_contig_6	2715	4464																							
PocGH01_00015900	PocGH01_00_v1_archived_contig_6	21023	22589																							
PocGH01_00016000	PocGH01_00_v1_archived_contig_6	25557	26999																							
PocGH01_00016100	PocGH01_00_v1_archived_contig_6	27814	28568																							
PocGH01_00016200	PocGH01_00_v1_archived_contig_6	30238	33195																							
PocGH01_00016300	PocGH01_00_v1_archived_contig_6	35727	37668																							
PocGH01_00016400	PocGH01_00_v1_archived_contig_7	25	1991																							
PocGH01_00016500	PocGH01_00_v1_archived_contig_7	2754	4472																							
PocGH01_00016600	PocGH01_00_v1_archived_contig_7	6432	13336																							
PocGH01_00016700	PocGH01_00_v1_archived_contig_7	14527	15888																							
PocGH01_00016800	PocGH01_00_v1_archived_contig_7	17958	18248																							
PocGH01_00016900	PocGH01_00_v1_archived_contig_7	19148	20017																							
PocGH01_00017000	PocGH01_00_v1_archived_contig_7	21396	25765																							
PocGH01_00017100	PocGH01_00_v1_archived_contig_7	28934	32596																							
PocGH01_00017200	PocGH01_00_v1_archived_contig_7	33413	34066																							
PocGH01_00017300	PocGH01_00_v1_archived_contig_7	34295	36291																							
PocGH01_00102600	PocGH01_00_v1_archived_contig_155	125624	126407																							
PocGH01_00109000	PocGH01_00_v1_archived_contig_169	2736	4594																							
PocGH01_00109100	PocGH01_00_v1_archived_contig_169	5573	8587																							
PocGH01_00109200	PocGH01_00_v1_archived_contig_169	11286	12572																							
PocGH01_00134300	PocGH01_00_v1_archived_contig_241	443	8229																							
PocGH01_00168300	PocGH01_00_v1_archived_contig_368	4361	5440																							
PocGH01_00219600	PocGH01_00_v1_archived_contig_604	43867	45315																							
PocGH01_00238700	PocGH01_00_v1_archived_contig_630	102	1727																							
PocGH01_00238800	PocGH01_00_v1_archived_contig_632	331	4119																							
PocGH01_00238900	PocGH01_00_v1_archived_contig_633	4089	6161																							
PocGH01_00239000	PocGH01_00_v1_archived_contig_634	28	1230																							
PocGH01_00239100	PocGH01_00_v1_archived_contig_635	1517	4216																							
PocGH01_00239200	PocGH01_00_v1_archived_contig_636	186	1623																							
PocGH01_00239300	PocGH01_00_v1_archived_contig_636	4768	8520																							
PocGH01_00239400	PocGH01_00_v1_archived_contig_636	9428	11770																							
PocGH01_00239500	PocGH01_00_v1_archived_contig_637	3085	5600																							
PocGH01_01010700	PocGH01_01_v2	24495	25474																							
PocGH01_01010900	PocGH01_01_v2	33237	33770																							
PocGH01_01011000	PocGH01_01_v2	34917	38624																							
PocGH01_01011100	PocGH01_01_v2	40221	40652																							
PocGH01_01011200	PocGH01_01_v2	41825	43918																							
PocGH01_01011300	PocGH01_01_v2	48973	55452																							
PocGH01_01011400	PocGH01_01_v2	57465	59545																							
PocGH01_01011500	PocGH01_01_v2	60227	60862																							
PocGH01_01011700	PocGH01_01_v2	67929	79820																							
PocGH01_01011800	PocGH01_01_v2	81258	90200																							
PocGH01_01012000	PocGH01_01_v2	105150	108734																							
PocGH01_01012200	PocGH01_01_v2	120504	123110																							
PocGH01_01012300	PocGH01_01_v2	124067	127660																							
PocGH01_01012400	PocGH01_01_v2	129473	142135																							
PocGH01_01012500	PocGH01_01_v2	142954	146940																							
PocGH01_01012600	PocGH01_01_v2	147699	151745																							
PocGH01_01012700	PocGH01_01_v2	153878	154837																							
PocGH01_01012800	PocGH01_01_v2	156114	159725																							
PocGH01_01012900	PocGH01_01_v2	161648	163999																							
PocGH01_01013000	PocGH01_01_v2	165292	169122																							
PocGH01_01013100	PocGH01_01_v2	170648	173103																							
PocGH01_01013200	PocGH01_01_v2	173738	176206																							
PocGH01_01013400	PocGH01_01_v2	190232	193402																							
PocGH01_01013500	PocGH01_01_v2	194951	195777																							
PocGH01_01013600	PocGH01_01_v2	197060	198820																							
PocGH01_01013700	PocGH01_01_v2	199693	200889																							
PocGH01_01013800	PocGH01_01_v2	202753	206409																							
PocGH01_01014200	PocGH01_01_v2	216589	216867																							
PocGH01_01014400	PocGH01_01_v2	232048	233829																							
PocGH01_01015000	PocGH01_01_v2	242526	248153																							
PocGH01_01015200	PocGH01_01_v2	257186	259097																							
PocGH01_01015300	PocGH01_01_v2	262084	266460																							
PocGH01_01015400	PocGH01_01_v2	267979	268884																							
PocGH01_01015500	PocGH01_01_v2	272936	275965																							
PocGH01_01015600	PocGH01_01_v2	277979	281535																							
PocGH01_01015700	PocGH01_01_v2	282965	283744																							
PocGH01_01015800	PocGH01_01_v2	284971	287912																							
PocGH01_01016000	PocGH01_01_v2	290062	290271																							
PocGH01_01016100	PocGH01_01_v2	291277	294311																							
PocGH01_01016200	PocGH01_01_v2	294917	296235																							
PocGH01_01016400	PocGH01_01_v2	304213	307090																							
PocGH01_01016500	PocGH01_01_v2	308982	309934																							
PocGH01_01016600	PocGH01_01_v2	311126	311770																							
PocGH01_01016700	PocGH01_01_v2	315920	318562																							
PocGH01_01016800	PocGH01_01_v2	319830	320681																							
PocGH01_01017000	PocGH01_01_v2	328597	331500																							
PocGH01_01017200	PocGH01_01_v2	333862	342537																							
PocGH01_01017300	PocGH01_01_v2	343585	347363																							
PocGH01_01017400	PocGH01_01_v2	349205	349817																							
PocGH01_01017500	PocGH01_01_v2	350439	354440																							
PocGH01_01017800	PocGH01_01_v2	364723	364920																							
PocGH01_01017900	PocGH01_01_v2	365768	372364																							
PocGH01_01018100	PocGH01_01_v2	388056	389438																							
PocGH01_01018200	PocGH01_01_v2	391375	399417																							
PocGH01_01018300	PocGH01_01_v2	400439	401718																							
PocGH01_01018400	PocGH01_01_v2	402524	403672																							
PocGH01_01018500	PocGH01_01_v2	403771	405328																							
PocGH01_01018600	PocGH01_01_v2	406983	407909																							
PocGH01_01018800	PocGH01_01_v2	411958	413073																							
PocGH01_01019100	PocGH01_01_v2	421364	421903																							
PocGH01_01019200	PocGH01_01_v2	424266	427025																							
PocGH01_01019400	PocGH01_01_v2	429499	432039																							
PocGH01_01019500	PocGH01_01_v2	435752	437902																							
PocGH01_01019700	PocGH01_01_v2	440407	441811																							
PocGH01_01019800	PocGH01_01_v2	442847	443743																							
PocGH01_01020000	PocGH01_01_v2	450747	456399																							
PocGH01_01020100	PocGH01_01_v2	457947	461033																							
PocGH01_01020200	PocGH01_01_v2	461837	463281																							
PocGH01_01020300	PocGH01_01_v2	464617	466235																							
PocGH01_01020400	PocGH01_01_v2	466687	470690																							
PocGH01_01020600	PocGH01_01_v2	478527	479702																							
PocGH01_01020700	PocGH01_01_v2	480598	481999																							
PocGH01_01020800	PocGH01_01_v2	483661	484876																							
PocGH01_01020900	PocGH01_01_v2	486555	488132																							
PocGH01_01021000	PocGH01_01_v2	489689	493885																							
PocGH01_01021100	PocGH01_01_v2	494246	496070																							
PocGH01_01021200	PocGH01_01_v2	497124	498263																							
PocGH01_01021300	PocGH01_01_v2	500822	503677																							
PocGH01_01021500	PocGH01_01_v2	508861	515276																							
PocGH01_01021600	PocGH01_01_v2	516195	519464																							
PocGH01_01021800	PocGH01_01_v2	525281	525796																							
PocGH01_01021900	PocGH01_01_v2	526960	532119																							
